co_area_compl_pedagogica_1,co_area_compl_pedagogica_2,co_area_compl_pedagogica_3,co_area_curso_1,co_area_curso_2,co_area_curso_3,co_curso_1,co_curso_2,co_curso_3,co_ies_1,co_ies_2,co_ies_3,co_municipio_end,co_uf_end,id_docente,in_disc_artes,in_disc_biologia,in_disc_educacao_fisica,in_disc_ensino_religioso,in_disc_est_sociais_sociologia,in_disc_estagio_supervisionado,in_disc_estudos_sociais,in_disc_filosofia,in_disc_fisica,in_disc_geografia,in_disc_historia,in_disc_informatica_computacao,in_disc_lingua_outra,in_disc_lingua_ingles,in_disc_libras,in_disc_lingua_espanhol,in_disc_lingua_frances,in_disc_lingua_indigena,in_disc_lingua_portuguesa,in_disc_outras,in_disc_port_segunda_lingua,in_disc_profissionalizante,in_disc_pedagogicas,in_disc_matematica,in_disc_quimica,in_disc_sociologia,in_doutorado,in_eja,in_especializacao,in_especial_exclusiva,in_mestrado,in_pos_nenhum,in_profissionalizante,in_regular,in_superdotacao,in_surdez,in_surdocegueira,nu_ano_conclusao_3,nu_ano_conclusao_2,nu_ano_conclusao_1,tp_ensino_medio,tp_etapa_ensino,tp_local_resid_diferenciada,tp_situacao_curso_3,tp_situacao_curso_2,tp_situacao_curso_1,tp_tipo_contratacao,tp_tipo_ies_1,tp_tipo_ies_2,tp_tipo_ies_3
NA,NA,NA,2,NA,NA,220L03,NA,NA,519,NA,NA,2927408,29,115196528600,0,0,0,0,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,0,1,NA,NA,NA,0,0,NA,NA,1993,NA,27,NA,NA,NA,1,1,2,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,519,NA,NA,2927408,29,115196528600,0,0,0,0,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,1,NA,0,0,NA,NA,NA,0,0,NA,NA,1993,NA,11,NA,NA,NA,1,1,2,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,519,NA,NA,2927408,29,115196528600,0,0,0,0,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,1,NA,0,0,NA,NA,NA,0,0,NA,NA,1993,NA,25,NA,NA,NA,1,1,2,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,519,NA,NA,2927408,29,115196528600,0,0,0,0,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,1,NA,0,0,NA,NA,NA,0,0,NA,NA,1993,NA,26,NA,NA,NA,1,1,2,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,519,NA,NA,2927408,29,115196528600,0,0,0,0,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,1,NA,0,0,NA,NA,NA,0,0,NA,NA,1993,NA,27,NA,NA,NA,1,1,2,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,519,NA,NA,2927408,29,115196528600,0,0,0,0,NA,NA,0,0,0,0,0,0,0,1,0,0,NA,0,0,0,NA,0,0,0,0,NA,0,NA,0,NA,0,1,NA,NA,NA,NA,NA,NA,NA,1993,NA,10,NA,NA,NA,1,1,2,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,519,NA,NA,2927408,29,115196528600,0,0,0,0,NA,NA,0,0,0,0,0,0,0,1,0,0,NA,0,0,0,NA,0,0,0,0,NA,0,NA,0,NA,0,1,NA,NA,NA,NA,NA,NA,NA,1993,NA,11,NA,NA,NA,1,1,2,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,519,NA,NA,2927408,29,115196528600,0,0,0,0,NA,NA,0,0,0,0,0,0,0,1,0,0,NA,0,0,0,NA,0,0,0,0,NA,0,NA,0,NA,0,1,NA,NA,NA,NA,NA,NA,NA,1993,NA,25,NA,NA,NA,1,1,2,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,519,NA,NA,2927408,29,115196528600,0,0,0,0,NA,NA,0,0,0,0,0,0,0,1,0,0,NA,0,0,0,NA,0,0,0,0,NA,0,NA,0,NA,0,1,NA,NA,NA,NA,NA,NA,NA,1993,NA,26,NA,NA,NA,1,1,2,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,519,NA,NA,2927408,29,115196528600,0,0,0,0,NA,NA,0,0,0,0,0,0,0,1,0,0,NA,0,0,0,NA,0,0,0,0,NA,0,NA,0,NA,0,1,NA,NA,NA,NA,NA,NA,NA,1993,NA,27,NA,NA,NA,1,1,2,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,519,NA,NA,2927408,29,115196528600,0,0,0,0,NA,NA,0,0,0,0,0,0,1,0,0,0,NA,0,0,0,NA,0,0,0,0,NA,0,NA,0,NA,0,1,NA,NA,NA,NA,NA,NA,NA,1993,NA,10,NA,NA,NA,NA,NA,2,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,519,NA,NA,2927408,29,115196528600,0,0,0,0,NA,NA,0,0,0,0,0,0,1,0,0,0,NA,0,0,0,NA,0,0,0,0,NA,0,NA,0,NA,0,1,NA,NA,NA,NA,NA,NA,NA,1993,NA,25,NA,NA,NA,NA,NA,2,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,519,NA,NA,2927408,29,115196528600,0,0,0,0,NA,NA,0,0,0,0,0,0,1,0,0,0,NA,0,0,0,NA,0,0,0,0,NA,0,NA,0,NA,0,1,NA,NA,NA,NA,NA,NA,NA,1993,NA,26,NA,NA,NA,NA,NA,2,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,519,NA,NA,2927408,29,115196528600,0,0,0,0,NA,NA,0,0,0,0,0,0,1,0,0,0,NA,0,0,0,NA,0,0,0,0,NA,0,NA,0,NA,0,1,NA,NA,NA,NA,NA,NA,NA,1993,NA,27,NA,NA,NA,NA,NA,2,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,519,NA,NA,2927408,29,115196528600,0,1,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,0,1,NA,NA,NA,0,0,NA,NA,1993,NA,26,NA,NA,NA,1,1,2,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,519,NA,NA,2927408,29,115196528791,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,0,NA,1,NA,0,0,NA,NA,NA,0,0,NA,NA,1984,NA,11,NA,NA,NA,1,1,2,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,519,NA,NA,2927408,29,115196528791,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,0,0,0,0,NA,1,NA,0,0,NA,NA,NA,0,0,NA,NA,1984,NA,10,NA,NA,NA,1,1,2,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,519,NA,NA,2927408,29,115196528791,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,0,0,0,0,NA,1,NA,0,0,NA,NA,NA,0,0,NA,NA,1984,NA,9,NA,NA,NA,1,1,2,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,519,NA,NA,2927408,29,115196528791,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,NA,0,0,0,0,NA,0,NA,0,NA,0,1,NA,NA,NA,NA,NA,NA,NA,1984,NA,11,NA,NA,NA,NA,NA,2,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,519,NA,NA,2927408,29,115196528791,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,NA,0,0,0,0,NA,0,NA,0,NA,0,1,NA,NA,NA,NA,NA,NA,NA,1984,NA,8,NA,NA,NA,1,1,2,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,519,NA,NA,2927408,29,115196528791,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,NA,0,0,0,0,NA,0,NA,0,NA,0,1,NA,NA,NA,NA,NA,NA,NA,1984,NA,9,NA,NA,NA,NA,NA,2,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,519,NA,NA,2927408,29,115196528791,1,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,1,NA,0,0,NA,NA,NA,0,0,NA,NA,1984,NA,10,NA,NA,NA,1,1,2,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,519,NA,NA,2927408,29,115196528791,1,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,1,NA,0,0,NA,NA,NA,0,0,NA,NA,1984,NA,8,NA,NA,NA,1,1,2,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,519,NA,NA,2927408,29,115196528791,1,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,1,NA,0,0,NA,NA,NA,0,0,NA,NA,1984,NA,9,NA,NA,NA,1,1,2,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,519,NA,NA,2927408,29,115196528791,1,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,0,0,0,0,NA,1,NA,0,0,NA,NA,NA,0,0,NA,NA,1984,NA,9,NA,NA,NA,1,1,2,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,519,NA,NA,2927408,29,115196529330,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,0,NA,1,NA,0,0,NA,NA,NA,0,0,NA,NA,1990,NA,8,NA,NA,NA,1,1,2,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,519,NA,NA,2927408,29,115196529330,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,0,0,0,0,NA,1,NA,0,0,NA,NA,NA,0,0,NA,NA,1990,NA,10,NA,NA,NA,1,1,2,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,519,NA,NA,2927408,29,115196529330,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,0,0,0,0,NA,1,NA,0,0,NA,NA,NA,0,0,NA,NA,1990,NA,8,NA,NA,NA,1,1,2,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,519,NA,NA,2927408,29,115196529330,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,NA,0,0,0,0,NA,0,NA,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,1990,NA,10,NA,NA,NA,1,1,2,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,519,NA,NA,2927408,29,115196529330,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,0,1,1,NA,0,0,0,0,NA,0,NA,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,1990,NA,11,NA,NA,NA,1,1,2,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,519,NA,NA,2927408,29,115196529410,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,0,NA,1,NA,0,0,NA,NA,NA,0,0,NA,NA,1984,NA,11,NA,NA,NA,1,1,2,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,519,NA,NA,2927408,29,115196529410,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,0,NA,1,NA,0,0,NA,NA,NA,0,0,NA,NA,1984,NA,9,NA,NA,NA,1,1,2,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,519,NA,NA,2927408,29,115196529410,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,0,0,0,0,NA,1,NA,0,0,NA,NA,NA,0,0,NA,NA,1984,NA,25,NA,NA,NA,1,1,2,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,519,NA,NA,2927408,29,115196529410,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,NA,0,0,0,0,NA,0,NA,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,1984,NA,27,NA,NA,NA,1,1,2,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,519,NA,NA,2927408,29,115196529410,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,NA,0,0,0,0,NA,0,NA,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,1984,NA,27,NA,NA,NA,NA,NA,2,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,519,NA,NA,2927408,29,115196529410,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,NA,0,0,0,0,NA,0,NA,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,1984,NA,25,NA,NA,NA,1,1,2,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,519,NA,NA,2927408,29,115196529410,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,NA,0,0,0,0,NA,0,NA,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,1984,NA,25,NA,NA,NA,NA,NA,2,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,519,NA,NA,2927408,29,115196529410,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,NA,0,0,0,0,NA,0,NA,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,1984,NA,26,NA,NA,NA,1,1,2,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,519,NA,NA,2927408,29,115196529410,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,0,1,1,NA,0,0,0,0,NA,0,NA,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,1984,NA,25,NA,NA,NA,NA,NA,2,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,519,NA,NA,2927408,29,115196529410,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,0,1,1,NA,0,0,0,0,NA,0,NA,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,1984,NA,26,NA,NA,NA,1,1,2,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,519,NA,NA,2927408,29,115196529410,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,0,1,1,NA,0,0,0,0,NA,0,NA,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,1984,NA,26,NA,NA,NA,NA,NA,2,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,519,NA,NA,2927408,29,115196529410,1,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,1,NA,0,0,NA,NA,NA,0,0,NA,NA,1984,NA,10,NA,NA,NA,1,1,2,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,519,NA,NA,2927408,29,115196529410,1,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,1,NA,0,0,NA,NA,NA,0,0,NA,NA,1984,NA,8,NA,NA,NA,1,1,2,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,519,NA,NA,2927408,29,115196529410,1,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,1,NA,0,0,NA,NA,NA,0,0,NA,NA,1984,NA,9,NA,NA,NA,1,1,2,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,519,NA,NA,2927408,29,117625875481,0,0,0,0,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,1,NA,0,0,NA,NA,NA,0,0,NA,NA,1979,NA,10,NA,NA,NA,1,1,2,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,519,NA,NA,2927408,29,117625875481,0,0,0,0,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,1,NA,0,0,NA,NA,NA,0,0,NA,NA,1979,NA,8,NA,NA,NA,1,1,2,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,519,NA,NA,2927408,29,117625875481,0,0,0,0,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,1,NA,0,0,NA,NA,NA,0,0,NA,NA,1979,NA,9,NA,NA,NA,1,1,2,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,519,NA,NA,2927408,29,117625875481,1,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,1,NA,0,0,NA,NA,NA,0,0,NA,NA,1979,NA,10,NA,NA,NA,1,1,2,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,519,NA,NA,2927408,29,117625875481,1,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,1,NA,0,0,NA,NA,NA,0,0,NA,NA,1979,NA,25,NA,NA,NA,1,1,2,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,519,NA,NA,2927408,29,117625875481,1,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,1,NA,0,0,NA,NA,NA,0,0,NA,NA,1979,NA,8,NA,NA,NA,1,1,2,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,519,NA,NA,2927408,29,117625875481,1,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,1,NA,0,0,NA,NA,NA,0,0,NA,NA,1979,NA,9,NA,NA,NA,1,1,2,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,519,NA,NA,2927408,29,117626108689,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,0,NA,1,NA,0,0,NA,NA,NA,0,0,NA,NA,1986,NA,10,NA,NA,NA,1,1,2,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,519,NA,NA,2927408,29,117626108689,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,0,NA,1,NA,0,0,NA,NA,NA,0,0,NA,NA,1986,NA,27,NA,NA,NA,1,1,2,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,519,NA,NA,2927408,29,117626108689,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,0,0,0,0,NA,1,NA,0,0,NA,NA,NA,0,0,NA,NA,1986,NA,11,NA,NA,NA,1,1,2,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,519,NA,NA,2927408,29,117626108689,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,0,0,0,0,0,0,NA,1,NA,0,0,NA,NA,NA,0,0,NA,NA,1986,NA,11,NA,NA,NA,1,1,2,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,519,NA,NA,2927408,29,117626108689,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,0,0,0,0,0,0,NA,1,NA,0,0,NA,NA,NA,0,0,NA,NA,1986,NA,27,NA,NA,NA,1,1,2,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,519,NA,NA,2927408,29,117626108689,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,NA,0,0,0,0,NA,0,NA,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,1986,NA,11,NA,NA,NA,NA,NA,2,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,519,NA,NA,2927408,29,117626108689,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,NA,0,0,0,0,NA,0,NA,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,1986,NA,27,NA,NA,NA,1,1,2,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,519,NA,NA,2927408,29,117626108689,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,NA,0,0,0,0,NA,0,NA,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,1986,NA,27,NA,NA,NA,NA,NA,2,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,519,NA,NA,2927408,29,117626108689,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,NA,0,0,0,0,NA,0,NA,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,1986,NA,9,NA,NA,NA,1,1,2,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,519,NA,NA,2927408,29,117626108689,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,0,1,1,NA,0,0,0,0,NA,0,NA,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,1986,NA,27,NA,NA,NA,1,1,2,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,519,NA,NA,2927408,29,117626108689,1,0,1,0,NA,NA,0,0,0,1,1,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,0,NA,1,NA,0,0,NA,NA,NA,0,0,NA,NA,1986,NA,11,NA,NA,NA,1,1,2,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,519,NA,NA,2927408,29,117626108689,1,0,1,0,NA,NA,0,0,0,1,1,0,0,0,0,0,0,0,1,0,NA,0,0,0,0,0,0,NA,1,NA,0,0,NA,NA,NA,0,0,NA,NA,1986,NA,8,NA,NA,NA,1,1,2,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,519,NA,NA,2927408,29,117626108689,1,0,1,0,NA,NA,0,0,0,1,1,0,0,1,0,0,0,0,1,0,NA,0,0,0,0,0,0,NA,1,NA,0,0,NA,NA,NA,0,0,NA,NA,1986,NA,10,NA,NA,NA,1,1,2,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,519,NA,NA,2927408,29,117635785183,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,0,0,0,0,NA,1,NA,0,0,NA,NA,NA,0,0,NA,NA,1990,NA,10,NA,NA,NA,1,1,2,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,519,NA,NA,2927408,29,117635785183,0,0,0,0,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,1,NA,0,0,NA,NA,NA,0,0,NA,NA,1990,NA,26,NA,NA,NA,1,1,2,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,519,NA,NA,2927408,29,122757550399,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,NA,0,0,0,0,NA,0,NA,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,1999,NA,25,NA,NA,NA,1,1,2,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,519,NA,NA,2927408,29,122757550399,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,NA,0,0,0,0,NA,0,NA,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,1999,NA,10,NA,NA,NA,1,1,2,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,519,NA,NA,2927408,29,122757550399,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,NA,0,0,0,0,NA,0,NA,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,1999,NA,11,NA,NA,NA,1,1,2,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,578,NA,NA,2927408,29,115198233470,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,NA,0,0,0,0,NA,0,NA,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,2000,NA,11,NA,NA,NA,NA,NA,1,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,578,NA,NA,2927408,29,115198233470,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,NA,0,0,0,0,NA,0,NA,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,2000,NA,9,NA,NA,NA,NA,NA,1,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,578,NA,NA,2927408,29,117625875481,0,0,0,0,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,0,1,NA,NA,NA,0,0,NA,NA,1995,NA,10,NA,NA,NA,1,1,1,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,578,NA,NA,2927408,29,117625875481,0,0,0,0,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,0,1,NA,NA,NA,0,0,NA,NA,1995,NA,11,NA,NA,NA,1,1,1,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,578,NA,NA,2927408,29,117625875481,0,0,0,0,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,0,1,NA,NA,NA,0,0,NA,NA,1995,NA,8,NA,NA,NA,1,1,1,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,578,NA,NA,2927408,29,117625875481,0,0,0,0,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,0,1,NA,NA,NA,0,0,NA,NA,1995,NA,9,NA,NA,NA,1,1,1,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,578,NA,NA,2927408,29,117625875481,0,0,0,0,NA,NA,0,0,0,0,0,0,0,1,0,0,NA,0,0,0,NA,0,0,0,0,NA,0,NA,0,NA,0,1,NA,NA,NA,NA,NA,NA,NA,1995,NA,10,NA,NA,NA,1,1,1,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,578,NA,NA,2927408,29,117625875481,0,0,0,0,NA,NA,0,0,0,0,0,0,0,1,0,0,NA,0,0,0,NA,0,0,0,0,NA,0,NA,0,NA,0,1,NA,NA,NA,NA,NA,NA,NA,1995,NA,11,NA,NA,NA,1,1,1,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,578,NA,NA,2927408,29,117625875481,0,0,0,0,NA,NA,0,0,0,0,0,0,0,1,0,0,NA,0,0,0,NA,0,0,0,0,NA,0,NA,0,NA,0,1,NA,NA,NA,NA,NA,NA,NA,1995,NA,8,NA,NA,NA,1,1,1,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,578,NA,NA,2927408,29,117625875481,0,0,0,0,NA,NA,0,0,0,0,0,0,0,1,0,0,NA,0,0,0,NA,0,0,0,0,NA,0,NA,0,NA,0,1,NA,NA,NA,NA,NA,NA,NA,1995,NA,9,NA,NA,NA,1,1,1,NA,NA
NA,NA,NA,2,NA,NA,220L03,NA,NA,578,NA,NA,2927408,29,117625875481,0,0,0,0,NA,NA,0,0,0,0,0,0,1,0,0,0,NA,0,0,0,NA,0,0,0,0,NA,0,NA,0,NA,0,1,NA,NA,NA,NA,NA,NA,NA,1995,NA,10,NA,NA,NA,NA,NA,1,NA,NA
